,Scheme Id,Scheme Name,01-Jan-2021,04-Jan-2021,05-Jan-2021,06-Jan-2021,07-Jan-2021,08-Jan-2021,11-Jan-2021,12-Jan-2021,13-Jan-2021,14-Jan-2021,15-Jan-2021,18-Jan-2021,19-Jan-2021,20-Jan-2021,21-Jan-2021,22-Jan-2021,25-Jan-2021,27-Jan-2021,28-Jan-2021,29-Jan-2021,01-Feb-2021,02-Feb-2021,03-Feb-2021,04-Feb-2021,05-Feb-2021,08-Feb-2021,09-Feb-2021,10-Feb-2021,11-Feb-2021,12-Feb-2021,15-Feb-2021,16-Feb-2021,17-Feb-2021,18-Feb-2021,19-Feb-2021,22-Feb-2021,23-Feb-2021,24-Feb-2021,25-Feb-2021,26-Feb-2021,01-Mar-2021,02-Mar-2021,03-Mar-2021,04-Mar-2021,05-Mar-2021,08-Mar-2021,09-Mar-2021,10-Mar-2021,12-Mar-2021,15-Mar-2021,16-Mar-2021,17-Mar-2021,18-Mar-2021,19-Mar-2021,22-Mar-2021,23-Mar-2021,24-Mar-2021,25-Mar-2021,26-Mar-2021,30-Mar-2021,31-Mar-2021,01-Apr-2021,05-Apr-2021,06-Apr-2021,07-Apr-2021,08-Apr-2021,09-Apr-2021,12-Apr-2021,13-Apr-2021,15-Apr-2021,16-Apr-2021,19-Apr-2021,20-Apr-2021,22-Apr-2021,23-Apr-2021,26-Apr-2021,27-Apr-2021,28-Apr-2021,29-Apr-2021,30-Apr-2021,03-May-2021,04-May-2021,05-May-2021,06-May-2021,07-May-2021,10-May-2021,11-May-2021,12-May-2021,14-May-2021,17-May-2021,18-May-2021,19-May-2021,20-May-2021,21-May-2021,24-May-2021,25-May-2021,26-May-2021,27-May-2021,28-May-2021,31-May-2021,01-Jun-2021,02-Jun-2021,03-Jun-2021,04-Jun-2021,07-Jun-2021,08-Jun-2021,09-Jun-2021,10-Jun-2021,11-Jun-2021,14-Jun-2021,15-Jun-2021,16-Jun-2021,17-Jun-2021,18-Jun-2021,21-Jun-2021,22-Jun-2021,23-Jun-2021,24-Jun-2021,25-Jun-2021,28-Jun-2021,29-Jun-2021,30-Jun-2021,01-Jul-2021,02-Jul-2021,05-Jul-2021,06-Jul-2021,07-Jul-2021,08-Jul-2021,09-Jul-2021,12-Jul-2021,13-Jul-2021,14-Jul-2021,15-Jul-2021,16-Jul-2021,19-Jul-2021,20-Jul-2021,22-Jul-2021,23-Jul-2021,26-Jul-2021,27-Jul-2021,28-Jul-2021,29-Jul-2021,30-Jul-2021
0,120465,Axis Bluechip Fund - Direct Plan - Growth,42.21,42.51,42.73,42.54,42.37,43.03,43.41,43.41,43.1,43.12,42.6,42.01,42.73,43.02,42.91,42.47,42.11,41.35,40.81,40.1,41.84,42.82,43.15,43.53,43.64,44.04,43.96,44.08,44.23,44.3,44.9,44.92,44.55,44.05,43.67,42.9,42.93,43.63,43.6,42.1,42.63,43.21,44.15,43.87,43.59,43.34,43.79,44.03,43.68,43.35,43.35,42.86,42.35,42.71,42.64,42.97,42.32,41.67,42.19,43.06,42.65,43.12,42.48,42.66,43.11,43.29,43.18,41.75,42.13,42.38,42.48,41.78,41.6,41.84,41.62,42.05,42.5,43.38,43.48,42.71,42.84,42.49,42.8,43.1,43.28,43.6,43.25,42.82,42.66,43.35,44.04,43.82,43.52,44.26,44.25,44.37,44.68,44.68,44.73,45.22,45.18,45.31,45.68,45.63,45.63,45.6,45.35,45.89,46.03,46.22,46.42,46.16,46.07,46.07,46.2,46.3,46.02,46.42,46.56,46.44,46.29,46.32,46.19,46.34,46.68,46.73,46.89,46.5,46.43,46.42,46.69,46.78,46.88,46.92,46.47,46.33,46.88,47.01,47.05,46.92,46.9,47.13,46.91
1,120466,Axis Bluechip Fund - Direct Plan - IDCW,20.69,20.83,20.94,20.85,20.76,21.09,21.27,21.28,21.13,21.14,20.88,20.59,20.94,21.08,21.03,20.81,20.64,20.27,20.0,19.65,20.5,20.99,21.15,21.34,21.39,21.59,21.55,21.6,21.68,21.71,22.01,22.01,21.84,21.59,21.4,21.03,21.04,21.38,21.37,20.63,20.9,21.18,21.64,21.5,21.37,21.24,21.46,21.58,21.41,21.25,21.25,21.01,20.76,20.93,20.9,21.06,20.74,20.43,19.68,20.08,19.89,20.11,19.82,19.9,20.11,20.19,20.14,19.47,19.65,19.77,19.81,19.49,19.4,19.51,19.41,19.61,19.82,20.23,20.28,19.92,19.98,19.82,19.96,20.1,20.19,20.33,20.17,19.97,19.9,20.22,20.54,20.44,20.3,20.65,20.64,20.69,20.84,20.84,20.87,21.09,21.07,21.13,21.31,21.28,21.28,21.27,21.15,21.41,21.47,21.56,21.65,21.53,21.49,21.49,21.55,21.59,21.47,21.65,21.72,21.66,21.59,21.6,21.54,21.62,21.77,21.8,21.87,21.69,21.66,21.65,21.78,21.82,21.87,21.89,21.68,21.61,21.87,21.93,21.95,21.88,21.87,21.98,21.88
2,120503,Axis Long Term Equity Fund - Direct Plan - Growth Option,64.982,65.5681,66.3871,65.8741,65.7504,66.77,67.1855,66.9093,66.0534,66.0755,65.1807,63.9697,65.1644,65.6415,65.3636,65.0458,64.4204,63.2001,62.2646,61.0128,63.2909,64.9817,65.4614,66.216,66.3772,67.1298,66.9563,67.59,68.1178,68.1007,69.3997,69.3418,68.6967,68.5185,67.9212,66.7885,66.8644,67.3751,67.5493,65.7906,66.6336,67.814,69.1273,68.9431,68.454,68.0512,68.541,68.9064,68.3853,67.9814,68.0344,67.2323,66.2719,66.7529,66.8021,67.2521,66.1412,64.864,65.7904,66.5679,66.3499,67.0371,66.1132,66.3985,67.4155,67.8958,67.7033,65.222,65.5948,65.7774,66.3723,65.0908,65.0174,65.4039,65.4656,65.8562,66.5924,67.9358,68.0292,66.9264,67.0875,66.6541,67.165,67.5074,67.558,68.1078,67.5422,66.9675,66.5356,67.3697,68.7087,68.4275,68.1195,69.0525,69.0821,69.3104,69.8961,70.0134,69.8483,70.2453,70.3808,70.9471,71.495,71.582,71.6821,71.682,71.4079,72.3612,72.2529,72.4523,72.8587,72.6385,72.3683,72.1931,72.3846,72.5265,72.1387,72.5226,72.8784,72.8531,72.726,72.8723,73.1256,73.4383,74.02,73.9922,74.2331,73.9363,74.0795,74.0474,74.0438,74.218,74.2924,74.3636,73.9938,73.8128,74.5876,74.5025,74.4544,74.294,74.1284,74.5288,74.2211
3,120502,Axis Long Term Equity Fund - Direct Plan - IDCW,46.7198,47.1412,47.73,47.3612,47.2722,48.0053,48.3041,48.1055,47.4901,47.506,46.8626,45.992,46.8509,47.1939,46.9942,46.7657,46.316,45.4387,44.7661,43.8661,45.504,46.7196,47.0645,47.607,47.7229,48.264,48.1393,48.5949,48.9744,48.9621,49.896,49.8543,49.3905,49.2624,48.833,48.0186,48.0732,48.4404,48.5656,44.3512,44.9194,45.7152,46.6005,46.4763,46.1467,45.8751,46.2053,46.4516,46.1003,45.828,45.8638,45.3231,44.6756,44.9999,45.033,45.3364,44.5875,43.7265,44.351,44.8751,44.7282,45.1915,44.5686,44.7609,45.4465,45.7703,45.6406,43.9678,44.2192,44.3422,44.7433,43.8794,43.8299,44.0904,44.132,44.3954,44.8917,45.7973,45.8603,45.1168,45.2254,44.9333,45.2777,45.5085,45.5426,45.9132,45.532,45.1445,44.8534,45.4157,46.3183,46.1287,45.9211,46.5501,46.5701,46.7239,47.1188,47.1978,47.0865,47.3542,47.4455,47.8273,48.1967,48.2553,48.3227,48.3227,48.1379,48.7806,48.7075,48.842,49.1159,48.9675,48.7854,48.6672,48.7963,48.892,48.6305,48.8894,49.1292,49.1122,49.0265,49.1251,49.2959,49.5067,49.8988,49.8801,50.0425,49.8424,49.9389,49.9172,49.9148,50.0323,50.0824,50.1304,49.8811,49.7591,50.2815,50.224,50.1917,50.0835,49.9718,50.2418,50.0343
4,120586,ICICI Prudential Bluechip Fund - Direct Plan - Growth,54.08,54.73,55.03,55.02,55.26,56.01,56.48,56.89,57.04,56.99,56.4,55.58,56.39,56.74,56.31,55.54,55.24,54.34,54.03,53.44,55.91,57.32,57.94,58.33,58.02,58.88,59.02,58.9,59.1,59.09,59.77,59.78,59.59,59.45,58.7,57.57,57.87,58.9,59.31,57.41,58.11,58.79,59.94,59.32,58.8,58.98,59.33,59.61,59.05,58.78,58.65,57.82,57.24,57.81,57.73,58.07,56.99,56.18,56.88,57.89,57.42,58.14,57.26,57.2,57.79,57.91,57.71,55.63,56.5,56.81,57.0,56.07,55.85,56.29,56.11,56.77,57.38,58.25,58.28,57.58,57.68,57.24,57.78,58.19,58.58,59.08,58.96,58.39,58.13,58.9,59.55,59.35,58.87,59.79,59.98,60.04,60.34,60.44,60.55,61.17,60.98,61.0,61.49,61.51,61.94,61.98,61.6,61.94,62.03,62.11,62.41,62.0,61.64,61.52,61.72,61.96,61.62,61.98,62.52,62.5,62.12,62.06,61.92,62.05,62.48,62.44,62.64,62.12,62.06,62.07,62.63,62.89,63.22,63.27,62.62,61.93,62.84,63.08,63.06,62.87,62.92,63.17,63.31
5,120585,ICICI Prudential Bluechip Fund - Direct Plan - IDCW,36.96,37.41,37.61,37.61,37.77,38.28,38.6,36.48,36.58,36.55,36.17,35.64,36.16,36.39,36.11,35.61,35.43,34.85,34.65,34.27,35.86,36.76,37.15,37.41,37.21,37.76,37.85,37.77,37.9,37.89,38.33,38.34,38.21,38.13,37.64,36.92,37.11,37.77,38.04,36.82,37.27,37.7,38.44,38.04,37.71,37.82,38.05,38.23,37.87,37.7,37.61,37.08,36.71,37.08,37.02,37.24,36.55,36.03,36.48,37.12,36.82,37.28,36.72,36.68,37.06,37.14,37.01,35.67,36.23,36.43,36.56,35.96,35.82,36.1,35.98,36.41,36.8,37.35,37.37,36.93,36.99,36.71,37.05,37.32,37.57,37.89,37.81,37.44,37.28,37.77,38.19,38.06,37.75,38.34,38.47,38.51,38.7,38.76,38.83,39.23,39.1,39.12,39.44,39.44,39.72,39.74,39.51,39.72,39.78,39.83,40.02,39.76,39.53,39.45,39.58,39.74,39.51,39.75,40.09,40.08,39.83,39.8,39.71,39.79,40.07,40.04,40.17,39.83,39.8,39.8,40.16,40.33,40.54,40.57,40.16,39.71,40.3,40.45,40.44,40.32,40.35,40.51,40.6
6,120592,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth,481.65,488.07,490.96,491.71,493.78,500.32,504.49,508.24,509.91,510.18,504.12,495.47,502.59,504.29,498.95,491.94,489.11,482.36,479.01,473.83,494.18,506.77,513.58,517.94,516.96,524.79,525.1,525.07,529.94,527.19,532.59,533.05,531.71,532.81,526.51,516.49,520.51,528.26,533.29,517.68,522.13,529.39,539.62,535.41,530.11,532.35,534.21,537.39,533.26,530.67,529.6,521.02,516.62,522.29,522.42,524.17,514.37,506.29,513.47,522.3,519.3,525.61,517.91,518.29,523.93,525.44,524.5,504.77,511.7,514.06,517.2,508.31,506.92,508.89,507.48,512.43,518.04,524.55,524.47,518.4,520.16,515.99,520.45,523.58,527.02,531.87,531.78,527.54,524.53,531.2,536.52,535.63,531.91,540.15,543.65,544.72,546.37,548.39,547.7,553.16,552.45,553.21,557.61,557.61,562.25,564.93,561.26,565.77,567.09,567.06,569.34,566.89,562.58,560.09,562.75,564.43,561.49,564.18,568.35,568.73,566.28,565.09,564.8,565.84,569.91,570.24,572.31,568.19,568.84,570.2,575.32,578.58,581.47,581.93,576.91,569.59,578.23,580.14,580.51,579.96,580.58,586.23,588.38
7,120593,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  IDCW,30.28,30.68,30.86,30.91,31.04,31.45,31.71,31.95,32.05,32.07,31.69,31.15,31.59,31.7,31.36,30.92,30.75,30.32,30.11,29.79,31.06,31.86,32.28,32.56,32.5,32.99,33.01,33.01,33.31,33.14,33.48,33.51,33.42,33.49,33.1,32.47,32.72,33.21,33.52,32.54,32.82,33.28,33.92,33.66,33.32,33.46,33.58,33.78,33.52,33.36,32.59,32.06,31.79,32.14,32.15,32.26,31.65,31.16,31.6,32.14,31.96,32.35,31.87,31.89,32.24,32.34,32.28,31.06,31.49,31.63,31.83,31.28,31.2,31.32,31.23,31.53,31.88,32.28,32.28,31.9,32.01,31.75,32.03,32.22,32.43,32.73,32.73,32.46,32.28,32.69,33.02,32.96,32.73,33.24,33.46,33.52,33.62,33.75,33.7,34.04,34.0,34.04,34.31,34.31,34.6,34.77,34.54,34.82,34.2,34.2,34.33,34.19,33.93,33.78,33.94,34.04,33.86,34.02,34.27,34.3,34.15,34.08,34.06,34.12,34.37,34.39,34.51,34.26,34.3,34.39,34.69,34.89,35.07,35.09,34.79,34.35,34.87,34.99,35.01,34.97,35.01,35.35,35.48
8,119585,SBI Blue Chip Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),33.7984,34.1958,34.3432,34.3456,34.3611,34.8637,35.1498,35.372,35.3401,35.3589,34.8677,34.439,35.0274,35.2338,34.9455,34.4557,34.1966,33.6133,33.3467,32.9833,34.6599,35.6404,36.0655,36.4558,36.495,37.0748,37.0345,37.1029,37.1987,37.2018,37.7841,37.7635,37.6831,37.4301,36.9517,36.2551,36.4349,37.0261,37.2928,36.0427,36.6636,37.1279,37.7246,37.4274,36.9655,37.0432,37.2264,37.4348,37.0326,36.7814,36.6855,36.1505,35.7451,36.1025,36.1512,36.4212,35.6861,35.1366,35.599,36.3113,36.108,36.5085,35.8931,35.9238,36.3924,36.4827,36.347,34.9181,35.5378,35.6795,35.8879,35.1966,35.0881,35.3948,35.258,35.563,35.9538,36.3317,36.2367,35.7108,35.715,35.3748,35.726,36.0063,36.1193,36.4642,36.3275,35.99,35.8057,36.3894,36.8563,36.7858,36.6204,37.2347,37.4136,37.3165,37.4276,37.4684,37.645,37.9295,37.871,38.0683,38.2956,38.2491,38.4545,38.4753,38.2126,38.4708,38.492,38.5055,38.6522,38.4125,38.1536,38.0226,38.1518,38.2755,38.1786,38.404,38.7491,38.6781,38.4457,38.4366,38.3784,38.5545,38.8372,38.8129,38.9838,38.6305,38.6383,38.7161,38.9776,39.1063,39.3529,39.3757,39.043,38.6148,39.1067,39.282,39.219,39.0546,38.9846,39.236,39.3242
9,119598,SBI BLUE CHIP FUND-DIRECT PLAN -GROWTH,52.0788,52.6911,52.9182,52.9219,52.9457,53.7202,54.1609,54.5034,54.4543,54.4833,53.7264,53.0658,53.9725,54.2905,53.8463,53.0916,52.6923,51.7936,51.3828,50.8227,53.4061,54.9169,55.572,56.1734,56.2339,57.1273,57.0651,57.1705,57.3181,57.323,58.2201,58.1884,58.0645,57.6748,56.9376,55.8642,56.1413,57.0522,57.4631,55.5369,56.4937,57.209,58.1284,57.6704,56.9587,57.0784,57.3608,57.6819,57.0622,56.6751,56.5274,55.703,55.0783,55.6291,55.7042,56.1201,54.9875,54.1407,54.8533,55.9509,55.6375,56.2546,55.3064,55.3538,56.0758,56.2149,56.0058,53.804,54.759,54.9772,55.2985,54.2332,54.0661,54.5386,54.3278,54.7978,55.4,55.9823,55.8357,55.0254,55.0319,54.5077,55.0488,55.4807,55.6548,56.1864,55.9757,55.4557,55.1717,56.071,56.7906,56.6819,56.427,57.3736,57.6493,57.4996,57.6708,57.7337,58.0058,58.4442,58.354,58.6581,59.0083,58.9367,59.2532,59.2852,58.8805,59.2783,59.3109,59.3317,59.5577,59.1884,58.7895,58.5877,58.7867,58.9773,58.828,59.1754,59.7071,59.5977,59.2396,59.2255,59.1359,59.4072,59.8428,59.8054,60.0688,59.5242,59.5363,59.6562,60.0592,60.2575,60.6374,60.6722,60.1597,59.4999,60.2579,60.5279,60.4308,60.1776,60.0696,60.457,60.5929
