,Scheme Id,Scheme Name,01-Jan-2021,04-Jan-2021,05-Jan-2021,06-Jan-2021,07-Jan-2021,08-Jan-2021,11-Jan-2021,12-Jan-2021,13-Jan-2021,14-Jan-2021,15-Jan-2021,18-Jan-2021,19-Jan-2021,20-Jan-2021,21-Jan-2021,22-Jan-2021,25-Jan-2021,27-Jan-2021,28-Jan-2021,29-Jan-2021,01-Feb-2021,02-Feb-2021,03-Feb-2021,04-Feb-2021,05-Feb-2021,08-Feb-2021,09-Feb-2021,10-Feb-2021,11-Feb-2021,12-Feb-2021,15-Feb-2021,16-Feb-2021,17-Feb-2021,18-Feb-2021,19-Feb-2021,22-Feb-2021,23-Feb-2021,24-Feb-2021,25-Feb-2021,26-Feb-2021,01-Mar-2021,02-Mar-2021,03-Mar-2021,04-Mar-2021,05-Mar-2021,08-Mar-2021,09-Mar-2021,10-Mar-2021,12-Mar-2021,15-Mar-2021,16-Mar-2021,17-Mar-2021,18-Mar-2021,19-Mar-2021,22-Mar-2021,23-Mar-2021,24-Mar-2021,25-Mar-2021,26-Mar-2021,30-Mar-2021,31-Mar-2021,01-Apr-2021,05-Apr-2021,06-Apr-2021,07-Apr-2021,08-Apr-2021,09-Apr-2021,12-Apr-2021,13-Apr-2021,15-Apr-2021,16-Apr-2021,19-Apr-2021,20-Apr-2021,22-Apr-2021,23-Apr-2021,26-Apr-2021,27-Apr-2021,28-Apr-2021,29-Apr-2021,30-Apr-2021,03-May-2021,04-May-2021,05-May-2021,06-May-2021,07-May-2021,10-May-2021,11-May-2021,12-May-2021,14-May-2021,17-May-2021,18-May-2021,19-May-2021,20-May-2021,21-May-2021,24-May-2021,25-May-2021,26-May-2021,27-May-2021,28-May-2021,31-May-2021,01-Jun-2021,02-Jun-2021,03-Jun-2021,04-Jun-2021,07-Jun-2021,08-Jun-2021,09-Jun-2021,10-Jun-2021,11-Jun-2021,14-Jun-2021,15-Jun-2021,16-Jun-2021,17-Jun-2021,18-Jun-2021,21-Jun-2021,22-Jun-2021,23-Jun-2021,24-Jun-2021,25-Jun-2021,28-Jun-2021,29-Jun-2021,30-Jun-2021,01-Jul-2021,02-Jul-2021,05-Jul-2021,06-Jul-2021,07-Jul-2021,08-Jul-2021,09-Jul-2021,12-Jul-2021,13-Jul-2021,14-Jul-2021,15-Jul-2021,16-Jul-2021,19-Jul-2021,20-Jul-2021,22-Jul-2021,23-Jul-2021,26-Jul-2021,27-Jul-2021,28-Jul-2021,29-Jul-2021,30-Jul-2021
0,120505,Axis Midcap Fund - Direct Plan - Growth,55.5,56.26,56.6,56.54,56.7,57.33,57.47,57.23,56.95,56.94,56.2,55.29,56.23,56.81,56.57,55.87,55.45,54.84,54.53,54.06,55.51,56.61,57.6,58.15,57.8,58.68,58.53,58.8,58.93,58.94,59.91,60.04,59.81,59.78,59.31,58.66,58.9,59.33,59.79,59.04,59.7,60.74,61.61,61.65,60.91,61.03,61.27,61.84,61.52,61.23,61.36,60.32,59.47,59.86,60.14,60.17,59.24,58.49,59.35,60.19,60.41,60.82,59.8,59.83,60.87,61.26,61.46,59.15,59.27,59.47,60.24,59.6,59.59,59.61,59.85,60.21,60.81,61.48,61.47,61.05,61.28,60.84,61.42,62.07,61.7,61.62,62.02,61.44,61.09,62.06,63.02,62.79,62.89,63.27,63.43,63.46,63.75,64.04,63.86,64.34,64.19,64.66,65.34,65.4,65.82,65.99,65.58,66.47,66.51,66.65,67.22,66.84,66.76,66.46,66.65,66.65,66.45,66.74,67.04,67.46,67.16,67.53,67.6,68.09,68.26,68.55,68.67,68.56,68.6,68.72,68.92,69.49,69.71,69.7,69.43,69.02,69.76,69.87,70.11,69.77,69.71,70.43,70.75
1,120504,Axis Midcap Fund - Direct Plan - IDCW,37.13,37.64,37.86,37.82,37.93,38.35,38.45,38.28,38.1,38.09,37.6,36.99,37.62,38.01,37.84,37.38,37.09,36.69,36.48,36.16,37.14,37.87,38.53,38.9,38.67,39.25,39.15,39.33,39.42,39.43,40.08,40.17,40.01,39.99,39.68,39.24,39.4,39.69,40.0,36.0,36.4,37.03,37.56,37.59,37.14,37.21,37.36,37.7,37.51,37.33,37.41,36.78,36.26,36.5,36.67,36.68,36.12,35.66,36.18,36.7,36.83,37.08,36.46,36.48,37.11,37.35,37.48,36.06,36.14,36.26,36.73,36.34,36.33,36.34,36.49,36.71,37.08,37.49,37.48,37.23,37.36,37.1,37.45,37.85,37.62,37.57,37.81,37.46,37.25,37.84,38.43,38.29,38.34,38.58,38.67,38.69,38.87,39.04,38.94,39.23,39.14,39.42,39.84,39.88,40.13,40.24,39.99,40.53,40.55,40.64,40.98,40.76,40.71,40.52,40.64,40.64,40.52,40.7,40.88,41.14,40.95,41.18,41.22,41.52,41.62,41.8,41.87,41.8,41.83,41.9,42.02,42.37,42.5,42.5,42.34,42.08,42.54,42.6,42.75,42.54,42.5,42.95,43.14
2,125354,Axis Small Cap Fund - Direct Plan - Growth,43.11,43.63,44.05,43.96,44.34,44.68,44.64,44.64,44.66,44.63,44.1,43.38,44.16,44.45,44.09,43.48,42.96,42.76,42.44,42.63,43.67,44.39,45.05,45.47,45.41,46.11,45.96,45.77,46.15,46.32,46.33,46.4,46.38,46.34,46.04,45.61,45.85,46.03,46.15,45.98,46.51,46.86,47.34,47.52,47.1,47.28,47.19,47.54,47.69,47.85,47.93,47.3,46.6,46.89,47.23,47.34,46.71,46.19,46.83,47.62,47.94,48.42,47.83,48.28,49.0,49.59,49.91,47.89,48.29,48.14,48.41,47.92,47.96,48.22,48.5,48.79,49.31,49.94,50.27,50.25,50.45,50.53,51.06,51.48,51.47,51.61,51.83,51.52,51.3,52.33,52.64,52.9,53.23,53.52,54.0,53.91,54.16,54.33,53.91,53.91,54.0,54.39,54.51,54.74,55.02,55.41,55.07,55.51,55.67,55.43,55.4,55.17,55.04,54.8,54.96,55.29,55.24,55.34,55.55,56.14,56.23,57.19,57.25,57.94,58.47,58.58,58.85,58.8,58.83,59.23,59.64,60.11,60.43,60.45,60.09,59.9,60.43,60.41,60.72,61.0,60.63,61.16,61.09
3,125351,Axis Small Cap Fund - Direct Plan - IDCW,29.56,29.92,30.21,30.15,30.41,30.65,30.62,30.61,30.63,30.61,30.24,29.75,30.29,30.49,30.24,29.82,29.46,29.33,29.11,29.24,29.95,30.44,30.9,31.18,31.14,31.62,31.52,31.39,31.65,31.77,31.78,31.82,31.81,31.78,31.57,31.28,31.44,31.57,31.65,31.54,31.9,32.14,32.47,32.59,32.3,32.43,32.36,32.6,32.71,32.82,32.88,32.44,31.96,32.16,32.39,32.47,32.04,31.68,29.42,29.91,30.11,30.42,30.04,30.33,30.78,31.15,31.36,30.08,30.33,30.24,30.41,30.1,30.13,30.29,30.47,30.65,30.98,31.37,31.58,31.57,31.69,31.74,32.08,32.34,32.34,32.42,32.56,32.36,32.23,32.88,33.07,33.23,33.44,33.62,33.92,33.86,34.02,34.14,33.87,33.87,33.92,34.17,34.25,34.39,34.57,34.81,34.6,34.88,34.97,34.82,34.8,34.66,34.58,34.43,34.53,34.73,34.7,34.77,34.9,35.27,35.33,35.93,35.97,36.4,36.74,36.8,36.97,36.94,36.96,37.21,37.47,37.77,37.97,37.98,37.75,37.63,37.96,37.95,38.15,38.32,38.09,38.42,38.38
4,120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,123.21,125.25,125.9,126.27,127.49,128.67,128.28,129.13,128.73,129.0,127.66,124.99,127.37,128.29,127.0,125.47,124.16,122.58,121.94,121.59,125.14,128.51,130.4,131.8,130.62,132.4,132.78,133.89,134.79,134.67,135.87,135.85,135.89,135.43,133.68,131.9,133.22,134.49,136.56,135.19,136.69,138.59,140.97,141.81,139.43,139.98,139.65,140.61,139.7,139.28,139.66,136.83,135.41,136.51,137.27,137.64,135.01,133.31,135.32,136.74,137.02,138.34,136.1,136.5,138.64,139.93,140.17,133.68,134.9,134.58,135.79,133.47,133.68,134.01,134.78,136.51,138.58,140.16,139.38,138.53,139.55,138.81,139.71,141.06,141.23,142.06,143.05,141.75,140.5,142.19,144.48,144.64,144.72,146.57,147.73,148.41,149.12,149.35,149.48,150.29,149.67,150.66,152.3,153.45,155.66,156.16,154.92,157.58,157.62,157.13,157.97,156.86,155.3,154.03,155.04,155.37,155.09,155.54,157.81,158.37,157.99,158.46,159.05,159.19,160.36,160.71,161.31,160.92,161.08,161.9,163.11,164.45,164.48,165.21,164.87,162.08,163.46,164.09,164.47,164.04,163.1,165.14,166.15
5,120380,ICICI Prudential MidCap Fund - Direct Plan -  IDCW,30.55,31.06,31.22,31.31,31.61,31.91,31.81,32.02,31.92,31.99,31.66,31.0,31.58,31.81,31.49,31.11,30.79,30.4,30.24,30.15,31.03,31.87,32.34,32.68,32.39,32.83,32.93,33.2,33.42,33.39,33.69,33.69,33.7,33.58,33.15,32.71,33.04,33.35,33.86,33.53,33.9,34.37,34.96,35.17,34.58,34.71,34.63,34.87,34.64,34.54,34.63,33.93,33.58,33.85,34.04,34.13,33.48,33.06,33.56,33.91,33.98,34.31,33.75,33.85,34.38,34.7,34.76,33.15,33.45,33.37,33.67,33.1,33.15,33.23,33.42,33.85,34.37,34.76,34.56,34.35,34.61,34.42,34.64,34.98,35.02,35.23,35.47,35.15,34.84,35.26,35.83,35.87,35.89,36.35,36.63,36.8,36.98,37.03,37.07,37.27,37.12,37.36,37.77,38.05,38.6,38.73,38.42,39.08,39.09,38.96,39.17,38.9,38.51,38.2,38.45,38.53,38.46,38.57,39.13,39.27,39.18,39.29,39.44,39.48,39.77,39.85,40.0,39.91,39.95,40.15,40.45,40.78,40.79,40.97,40.88,40.19,40.54,40.69,40.78,40.68,40.45,40.95,41.2
6,120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,352.66,356.45,358.92,358.84,360.72,364.42,366.1,369.43,370.14,369.32,365.02,358.98,364.69,366.98,365.13,363.32,361.06,355.11,352.51,350.2,365.17,376.15,380.47,384.36,383.19,388.57,388.77,389.5,392.62,393.72,398.44,397.6,398.04,397.7,392.04,385.82,389.08,394.74,397.72,389.05,393.6,397.36,403.85,402.98,397.03,398.08,398.65,400.95,398.27,396.31,396.31,389.59,384.29,386.82,385.66,388.72,381.8,376.66,381.18,385.72,384.61,389.39,382.45,382.35,387.88,390.42,389.58,372.19,378.0,378.64,380.25,374.06,373.14,376.39,375.54,379.67,383.87,390.51,390.35,386.61,387.86,385.7,387.9,390.48,391.78,395.67,397.58,395.3,393.0,400.36,406.42,407.15,406.73,413.75,417.16,417.32,419.83,420.48,418.29,421.19,418.89,422.62,426.53,426.96,431.1,431.12,426.9,431.25,430.71,430.63,433.19,431.13,427.49,424.8,426.87,428.09,426.73,428.56,431.36,431.77,430.72,431.72,431.74,432.8,435.63,436.92,437.88,435.12,436.18,439.39,444.1,446.18,448.2,452.56,450.16,443.32,450.59,452.08,451.42,450.6,449.52,453.67,454.6
7,120598,ICICI Prudential Multicap Fund - Direct Plan -  IDCW,30.9,31.24,31.45,31.45,31.61,31.93,32.08,32.37,32.44,32.36,31.99,31.46,31.96,32.16,32.0,31.84,31.64,31.12,30.89,30.69,32.0,32.96,33.34,33.68,33.58,34.05,34.07,34.13,34.41,34.5,34.92,34.84,34.88,34.85,34.36,33.81,34.1,34.59,34.85,34.09,34.49,34.82,35.39,35.31,34.79,34.88,34.93,35.14,34.9,34.73,34.73,34.14,33.68,33.9,33.8,34.06,33.46,33.01,33.4,33.8,33.7,34.12,33.51,33.51,33.99,34.21,34.14,32.62,33.12,33.18,33.32,32.78,32.7,32.98,32.91,33.27,33.64,34.22,34.21,33.88,33.99,33.8,33.99,34.22,34.33,34.67,34.84,34.64,34.44,35.08,35.62,35.68,35.64,36.26,36.56,36.57,36.79,36.85,36.66,36.91,36.71,37.03,37.38,37.42,37.78,37.78,37.41,37.79,37.74,37.74,37.96,37.78,37.46,37.23,37.41,37.51,37.4,37.56,37.8,37.84,37.74,37.83,37.83,37.93,38.17,38.29,38.37,38.13,38.22,38.5,38.92,39.1,39.28,39.66,39.45,38.85,39.49,39.62,39.56,39.49,39.39,39.76,39.84
8,119716,SBI Magnum MIDCAP FUND - DIRECT PLAN - GROWTH,100.8869,102.5264,103.4048,103.8013,104.699,105.338,105.1341,105.4448,104.6128,104.4844,103.7503,101.7763,103.9779,104.8125,104.1236,103.2034,102.1747,101.2687,100.5485,100.2825,102.7829,105.3904,107.0542,107.805,107.794,110.1177,110.2697,111.427,112.2034,112.4864,114.4209,114.0853,114.7459,115.4194,114.4506,112.5446,113.0464,113.3201,115.3058,114.6019,115.1797,116.4322,117.6722,118.4596,116.6048,116.5297,116.4931,117.4707,116.9008,116.5934,116.3909,114.3241,112.5534,112.9499,114.5483,115.328,113.65,111.4032,114.049,115.3389,116.2518,117.0879,115.2546,115.9727,117.9767,119.0632,118.9084,113.5214,114.7228,114.6032,115.8149,114.0616,114.5406,114.9692,115.0004,116.0131,117.3004,118.3582,118.9247,118.4928,118.9654,118.3485,118.7428,119.5362,119.0392,119.3734,119.8525,118.7034,117.2374,118.5097,120.296,120.46,120.8968,121.8224,122.7685,122.6415,123.0361,123.0145,122.9266,122.8424,122.2549,123.1089,124.4015,125.5158,126.5575,127.2155,126.3443,127.6723,127.7721,127.3024,128.2559,127.5987,127.0855,126.5602,126.9303,127.3704,127.474,128.1773,129.0043,129.8706,129.069,129.6817,130.1966,131.4617,131.9736,131.9779,132.6927,131.8296,132.4228,133.4419,134.0968,134.5157,134.6215,135.2064,134.6918,133.7245,134.9515,135.2285,135.1396,133.8582,133.3092,134.7269,135.9281
9,119715,SBI Magnum MidCap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),57.1972,58.1267,58.6247,58.8495,59.3584,59.7206,59.6051,59.7812,59.3086,59.2358,58.8196,57.7005,58.9486,59.4218,59.0312,58.5095,57.9264,57.4127,57.0044,56.8537,58.2709,59.7492,60.6924,61.1181,61.1117,62.4291,62.5153,63.1714,63.6116,63.772,64.8687,64.6784,65.0529,65.4347,64.8855,63.805,64.0894,64.2446,65.3702,64.9712,65.2987,66.0089,66.7118,67.1582,66.1067,66.0641,66.0434,66.5976,66.2745,66.1002,65.9854,64.8137,63.8099,64.0346,64.9408,65.3828,64.4315,63.1577,64.6577,65.389,65.9065,66.3806,65.3412,65.7483,66.8845,67.5004,67.4127,64.3586,65.0398,64.9719,65.6589,64.6649,64.9364,65.1795,65.1971,65.7712,66.5011,67.1008,67.422,67.1771,67.445,67.0953,67.3188,67.7687,67.4869,67.6764,67.948,67.2965,66.4654,67.1867,68.1994,68.2924,68.54,69.0647,69.6012,69.5291,69.7529,69.7408,69.6911,69.6434,69.3103,69.7945,70.5273,71.1591,71.7497,72.1227,71.6288,72.3817,72.4383,72.172,72.7125,72.34,72.049,71.7512,71.961,72.2105,72.2693,72.668,73.1368,73.628,73.1735,73.5209,73.8128,74.5301,74.8203,74.8227,75.228,74.7386,75.075,75.6527,76.024,76.2614,76.3214,76.6531,76.3613,75.8129,76.5086,76.6656,76.6152,75.8887,75.5775,76.3812,77.0622
