,Scheme Id,Scheme Name,01-Jan-2021,04-Jan-2021,05-Jan-2021,06-Jan-2021,07-Jan-2021,08-Jan-2021,11-Jan-2021,12-Jan-2021,13-Jan-2021,14-Jan-2021,15-Jan-2021,18-Jan-2021,19-Jan-2021,20-Jan-2021,21-Jan-2021,22-Jan-2021,25-Jan-2021,27-Jan-2021,28-Jan-2021,29-Jan-2021,01-Feb-2021,02-Feb-2021,03-Feb-2021,04-Feb-2021,05-Feb-2021,08-Feb-2021,09-Feb-2021,10-Feb-2021,11-Feb-2021,12-Feb-2021,15-Feb-2021,16-Feb-2021,17-Feb-2021,18-Feb-2021,22-Feb-2021,23-Feb-2021,24-Feb-2021,25-Feb-2021,26-Feb-2021,01-Mar-2021,02-Mar-2021,03-Mar-2021,04-Mar-2021,05-Mar-2021,08-Mar-2021,09-Mar-2021,10-Mar-2021,12-Mar-2021,15-Mar-2021,16-Mar-2021,17-Mar-2021,18-Mar-2021,19-Mar-2021,22-Mar-2021,23-Mar-2021,24-Mar-2021,25-Mar-2021,26-Mar-2021,30-Mar-2021,31-Mar-2021,05-Apr-2021,06-Apr-2021,07-Apr-2021,08-Apr-2021,09-Apr-2021,12-Apr-2021,15-Apr-2021,16-Apr-2021,19-Apr-2021,20-Apr-2021,22-Apr-2021,23-Apr-2021,26-Apr-2021,27-Apr-2021,28-Apr-2021,29-Apr-2021,30-Apr-2021,03-May-2021,04-May-2021,05-May-2021,06-May-2021,07-May-2021,10-May-2021,11-May-2021,12-May-2021,14-May-2021,17-May-2021,18-May-2021,19-May-2021,20-May-2021,21-May-2021,24-May-2021,25-May-2021,27-May-2021,28-May-2021,31-May-2021,01-Jun-2021,02-Jun-2021,03-Jun-2021,04-Jun-2021,07-Jun-2021,08-Jun-2021,09-Jun-2021,10-Jun-2021,11-Jun-2021,14-Jun-2021,15-Jun-2021,16-Jun-2021,17-Jun-2021,18-Jun-2021,21-Jun-2021,22-Jun-2021,23-Jun-2021,24-Jun-2021,25-Jun-2021,28-Jun-2021,29-Jun-2021,30-Jun-2021,01-Jul-2021,02-Jul-2021,05-Jul-2021,06-Jul-2021,07-Jul-2021,08-Jul-2021,09-Jul-2021,12-Jul-2021,13-Jul-2021,14-Jul-2021,15-Jul-2021,16-Jul-2021,19-Jul-2021,20-Jul-2021,22-Jul-2021,23-Jul-2021,26-Jul-2021,27-Jul-2021,28-Jul-2021,29-Jul-2021,30-Jul-2021
0,120510,Axis Short Term Fund - Direct Plan - Growth Option,25.3243,25.3475,25.372,25.3688,25.3784,25.3863,25.3328,25.3136,25.3068,25.2941,25.2821,25.2711,25.2717,25.2825,25.2895,25.282,25.2869,25.2914,25.3017,25.3032,25.2638,25.2407,25.2486,25.2483,25.2388,25.2506,25.2452,25.2437,25.2578,25.2635,25.2682,25.2795,25.2799,25.2842,25.267,25.2648,25.2688,25.2749,25.2688,25.2769,25.2913,25.2922,25.2936,25.2871,25.2987,25.2988,25.3007,25.285,25.2234,25.2157,25.2194,25.2371,25.2727,25.2895,25.3221,25.3346,25.3474,25.3605,25.3817,25.4019,25.4379,25.4564,25.4517,25.4574,25.4625,25.4714,25.465,25.4647,25.4833,25.4895,25.5048,25.5165,25.5433,25.5597,25.5675,25.5689,25.5837,25.6034,25.5997,25.6151,25.6166,25.616,25.6263,25.641,25.6395,25.641,25.6489,25.6564,25.6688,25.6713,25.6827,25.6903,25.7074,25.7121,25.7065,25.7113,25.7111,25.7098,25.724,25.7282,25.7481,25.7552,25.7762,25.7838,25.7952,25.8026,25.7779,25.7491,25.7492,25.7553,25.7649,25.7584,25.7589,25.7654,25.761,25.7566,25.7574,25.7568,25.7675,25.7628,25.7741,25.7609,25.7725,25.7936,25.7999,25.7981,25.8173,25.818,25.8331,25.8509,25.8638,25.8784,25.8767,25.8788,25.8932,25.8947,25.8992,25.9014,25.9032
1,120511,Axis Short Term Fund - Direct Plan - Monthly IDCW,10.1103,10.1196,10.1294,10.1281,10.1319,10.1351,10.1137,10.1061,10.1033,10.0983,10.0935,10.0891,10.0893,10.0936,10.0964,10.0934,10.0436,10.0454,10.0495,10.0501,10.0344,10.0253,10.0284,10.0283,10.0245,10.0292,10.0271,10.0265,10.032,10.0343,10.0362,10.0407,10.0408,10.0425,10.0357,10.0348,10.0364,10.0078,10.0054,10.0086,10.0143,10.0146,10.0152,10.0126,10.0172,10.0172,10.018,10.0117,9.9874,9.9843,9.9858,9.9928,10.0069,10.0135,10.0265,10.0314,10.0365,10.0417,10.05,10.0581,10.0723,10.0796,10.0778,10.08,10.082,10.0856,10.083,10.0829,10.0903,10.0927,10.0988,10.1034,10.0244,10.0309,10.0339,10.0345,10.0403,10.048,10.0466,10.0526,10.0532,10.053,10.057,10.0628,10.0622,10.0628,10.0659,10.0688,10.0737,10.0747,10.0791,10.0821,10.0314,10.0332,10.0311,10.0329,10.0329,10.0323,10.0379,10.0395,10.0473,10.0501,10.0583,10.0612,10.0657,10.0685,10.0589,10.0477,10.0477,10.0501,10.0538,10.0513,10.0515,10.054,10.0105,10.0087,10.0091,10.0088,10.013,10.0112,10.0155,10.0104,10.0149,10.0231,10.0256,10.0249,10.0323,10.0326,10.0385,10.0454,10.0504,10.0561,10.0554,10.0563,10.0124,10.013,10.0147,10.0155,10.0162
2,120512,Axis Short Term Fund - Direct Plan - Weekly IDCW,10.2597,10.2449,10.2548,10.2535,10.2574,10.2606,10.239,10.2312,10.2284,10.2233,10.2184,10.214,10.2143,10.2186,10.2214,10.2184,10.2204,10.2222,10.2264,10.227,10.2111,10.2017,10.2049,10.2048,10.201,10.2057,10.2036,10.2029,10.2086,10.2109,10.2129,10.2174,10.2176,10.2193,10.2124,10.2115,10.2131,10.2156,10.2131,10.2164,10.2222,10.2225,10.2231,10.2205,10.2252,10.2252,10.226,10.2196,10.1947,10.1916,10.1931,10.2003,10.2147,10.2215,10.2346,10.2397,10.2449,10.2502,10.2449,10.2531,10.2449,10.2524,10.2505,10.2528,10.2548,10.2449,10.2423,10.2422,10.2449,10.2474,10.2536,10.2583,10.2449,10.2515,10.2546,10.2552,10.2611,10.2449,10.2434,10.2496,10.2502,10.2499,10.2449,10.2508,10.2502,10.2508,10.2449,10.2479,10.2529,10.2539,10.2584,10.2449,10.2517,10.2536,10.2514,10.2449,10.2449,10.2443,10.25,10.2516,10.2449,10.2477,10.2561,10.2591,10.2637,10.2449,10.2351,10.2237,10.2237,10.2261,10.2299,10.2274,10.2276,10.2301,10.2284,10.2266,10.2269,10.2267,10.231,10.2291,10.2336,10.2283,10.2329,10.2413,10.2438,10.2431,10.2507,10.251,10.257,10.2641,10.2449,10.2507,10.25,10.2509,10.2449,10.2455,10.2473,10.2481,10.2488
3,120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,1039.131,1039.131,1039.0734,1039.131,1039.131,1038.0316,1037.0187,1036.2752,1034.8879,1034.5919,1033.4644,1033.578,1034.2741,1034.559,1034.2304,1034.4503,1034.6083,1034.7354,1035.0545,1033.9469,1033.2086,1033.3583,1033.2652,1032.9554,1033.5952,1033.192,1033.0393,1033.5779,1034.2555,1034.5662,1035.2991,1035.433,1035.7625,1035.3297,1034.8582,1035.0636,1035.2029,1035.1805,1035.5334,1035.9064,1036.138,1036.231,1036.016,1036.2087,1036.2905,1036.2789,1036.3034,1035.3093,1035.2761,1035.4898,1035.851,1037.0056,1037.8602,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1038.2366,1038.4272,1038.7784,1039.131,1038.8401,1038.5948,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1038.8083,1038.9728,1039.055,1039.131,1039.131,1039.111,1039.131,1039.131,1039.131,1039.131,1039.0797,1039.131,1039.124,1039.0679,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1038.6661,1037.5603,1037.3281,1037.5883,1038.0128,1037.8663,1037.8759,1038.0522,1037.9667,1037.8557,1037.9317,1037.9624,1038.2701,1038.2715,1038.8602,1038.7061,1039.0424,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131,1039.131
4,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2088.9476,2090.0691,2091.4962,2091.3802,2092.0246,2092.6767,2090.4627,2088.4228,2086.9255,2084.1317,2083.5354,2081.2649,2081.4937,2082.8954,2083.4692,2082.8075,2083.2503,2083.5685,2083.8244,2084.4672,2082.2367,2080.7497,2081.0512,2080.8637,2080.2398,2081.5284,2080.7163,2080.4088,2081.4933,2082.8579,2083.4836,2084.9596,2085.2295,2085.8931,2085.0216,2084.072,2084.4857,2084.7662,2084.7211,2085.4317,2086.1829,2086.6494,2086.8367,2086.4036,2086.7917,2086.9562,2086.9327,2086.9821,2084.9801,2084.9135,2085.3437,2086.071,2088.3962,2090.1172,2093.3385,2093.9088,2094.2081,2094.8704,2096.4358,2097.79,2100.287,2102.3246,2100.5161,2100.9016,2101.6121,2102.4432,2101.8548,2101.3589,2102.9092,2103.5739,2104.1417,2105.2909,2107.0579,2108.3225,2109.6838,2109.7867,2110.6215,2111.5037,2111.9873,2112.422,2112.5535,2112.6165,2113.3674,2114.545,2113.8901,2114.2248,2114.3922,2114.7996,2115.6623,2115.6222,2116.1265,2116.804,2117.313,2117.6544,2117.5503,2118.0078,2117.9938,2117.8797,2118.9983,2119.3712,2120.9874,2121.2237,2122.9809,2123.1853,2123.4877,2124.299,2123.3494,2121.0886,2120.6139,2121.1459,2122.0139,2121.7142,2121.7337,2122.0941,2121.9193,2121.6924,2121.8477,2121.9103,2122.5393,2122.5425,2123.7459,2123.4305,2124.1179,2126.1731,2126.591,2126.6312,2128.3162,2128.6384,2129.3793,2130.7335,2131.3087,2132.1401,2132.2988,2132.6331,2133.9677,2134.6625,2134.953,2135.1936,2135.4534
5,120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1034.2525,1034.8078,1035.5144,1035.4569,1035.776,1036.0988,1035.0027,1033.9927,1033.2514,1031.8681,1031.5729,1030.4488,1030.562,1031.2561,1031.5402,1031.2125,1031.4318,1031.5893,1031.716,1032.0343,1030.9299,1030.1937,1030.343,1030.2501,1029.9412,1030.5792,1030.1771,1030.0249,1030.5618,1031.2374,1031.5473,1032.278,1032.4117,1032.7402,1032.3087,1031.8386,1032.0434,1032.1823,1032.1599,1032.5118,1032.8837,1033.1146,1033.2074,1032.993,1033.1851,1033.2665,1033.2549,1033.2794,1032.2882,1032.2552,1032.4682,1032.8282,1033.9795,1034.8316,1036.4264,1036.7088,1032.8188,1033.1454,1033.9175,1034.5853,1035.8168,1036.8217,1035.9298,1036.1199,1036.4703,1036.8802,1036.59,1036.3455,1037.11,1037.4378,1037.7179,1038.2846,1032.8188,1033.4387,1034.106,1034.1564,1034.5656,1034.998,1035.2351,1035.4481,1035.5126,1035.5435,1035.9116,1036.4888,1036.1678,1036.3318,1036.4139,1036.6136,1037.0364,1037.0168,1037.264,1037.596,1032.8188,1032.9853,1032.9345,1033.1577,1033.1509,1033.0952,1033.6409,1033.8228,1034.6112,1034.7264,1035.5836,1035.6833,1035.8308,1036.2265,1035.7634,1034.6605,1034.4289,1034.6885,1035.1119,1034.9657,1034.9752,1035.151,1032.8188,1032.7084,1032.784,1032.8144,1033.1206,1033.1222,1033.7079,1033.5544,1033.889,1034.8893,1035.0927,1035.1123,1035.9324,1036.0893,1036.4499,1037.109,1037.389,1037.7937,1037.8709,1038.0337,1032.8188,1033.1551,1033.2957,1033.4121,1033.5379
6,120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1039.6444,1038.2027,1038.9121,1038.8545,1039.1746,1039.4986,1038.2027,1037.1893,1036.4457,1035.0582,1034.7621,1033.6344,1033.748,1034.4442,1034.7292,1034.4005,1034.6202,1034.7783,1034.9054,1035.2247,1034.1169,1033.3784,1033.5281,1033.435,1033.1251,1033.7651,1033.3618,1033.2091,1033.7477,1034.4255,1034.7362,1035.4692,1035.6033,1035.9328,1035.5,1035.0285,1035.2339,1035.3732,1035.3507,1035.7037,1036.0768,1036.3084,1036.4015,1036.1864,1036.3791,1036.4608,1036.4491,1036.4736,1035.4793,1035.4462,1035.6599,1036.0211,1037.1759,1038.0306,1039.6304,1039.9137,1040.0623,1040.3913,1038.2027,1038.8733,1038.2027,1039.2106,1038.3167,1038.5073,1038.8585,1038.2027,1037.9125,1037.6676,1038.2027,1038.5313,1038.8116,1039.3789,1038.2027,1038.8267,1039.4975,1039.5482,1039.9594,1038.2027,1038.441,1038.6548,1038.7195,1038.7504,1038.2027,1038.7814,1038.4597,1038.6241,1038.2027,1038.4036,1038.8271,1038.8075,1039.055,1038.2027,1038.453,1038.6204,1038.5694,1038.2027,1038.1956,1038.1397,1038.688,1038.8707,1038.2027,1038.3186,1039.1787,1039.2787,1039.4268,1038.2027,1037.7392,1036.6342,1036.4021,1036.6621,1037.0863,1036.9399,1036.9494,1037.1256,1037.0402,1036.9293,1037.0052,1037.0358,1037.3432,1037.3448,1037.9329,1037.7788,1038.1147,1039.1192,1039.3235,1038.2027,1039.0255,1039.1829,1039.5446,1040.2057,1038.2027,1038.608,1038.6854,1038.8482,1038.2027,1038.5412,1038.6825,1038.7996,1038.926
7,120754,ICICI Prudential Short Term Fund - Direct Plan - Growth Option,48.376,48.4166,48.4457,48.4417,48.4442,48.4532,48.4302,48.4308,48.4164,48.4073,48.3874,48.3651,48.373,48.3869,48.394,48.3918,48.3984,48.4045,48.4075,48.4139,48.319,48.2631,48.2794,48.2826,48.2682,48.3025,48.2833,48.2873,48.2946,48.3107,48.3312,48.347,48.348,48.3379,48.3173,48.3138,48.3312,48.3272,48.3091,48.3373,48.3502,48.3487,48.3586,48.343,48.3575,48.3496,48.3418,48.3111,48.2754,48.2611,48.2835,48.2904,48.3602,48.4116,48.49,48.5312,48.5399,48.5584,48.5927,48.6191,48.6951,48.7272,48.7437,48.7639,48.7669,48.7688,48.7485,48.745,48.7649,48.7864,48.8198,48.8393,48.8966,48.9202,48.9263,48.9377,48.9581,49.0011,48.9979,49.0142,49.0266,49.0483,49.0789,49.1033,49.1066,49.1076,49.1429,49.1642,49.1722,49.1915,49.2043,49.2183,49.2471,49.2458,49.2432,49.216,49.2319,49.2477,49.2644,49.2719,49.3282,49.3512,49.3785,49.4078,49.4303,49.4417,49.3914,49.3407,49.3613,49.3655,49.3904,49.3911,49.3944,49.4087,49.3977,49.3865,49.3911,49.3786,49.4017,49.3806,49.4098,49.3479,49.3896,49.4159,49.428,49.4342,49.467,49.4516,49.467,49.4941,49.5255,49.5561,49.5467,49.5429,49.5779,49.5893,49.5861,49.5928,49.5969
8,131478,ICICI Prudential Short Term Fund - Direct Plan - Half Yearly IDCW,13.7075,13.719,13.7272,13.7261,13.7268,13.7294,13.7228,13.723,13.7189,13.7163,13.7107,13.7044,13.7066,13.7106,13.7126,13.712,13.7138,13.7155,13.7164,13.7182,13.6913,13.6755,13.6801,13.681,13.6769,13.6866,13.6812,13.6823,13.6844,13.689,13.6948,13.6993,13.6995,13.6967,13.6908,13.6899,13.6948,13.6936,13.6885,13.6965,13.7002,13.6997,13.7025,13.6981,13.7022,13.7,13.6978,13.6891,13.679,13.6749,13.6812,13.6832,13.703,13.7176,13.7398,13.7514,13.7539,13.4012,13.4106,13.4179,13.4389,13.4478,13.4523,13.4579,13.4587,13.4592,13.4536,13.4527,13.4582,13.4641,13.4733,13.4787,13.4945,13.501,13.5027,13.5059,13.5115,13.5233,13.5225,13.527,13.5304,13.5364,13.5448,13.5515,13.5525,13.5527,13.5625,13.5684,13.5706,13.5759,13.5794,13.5833,13.5912,13.5909,13.5901,13.5827,13.587,13.5914,13.596,13.5981,13.6136,13.62,13.6275,13.6356,13.6418,13.6449,13.6311,13.6171,13.6228,13.6239,13.6308,13.631,13.6319,13.6358,13.6328,13.6297,13.631,13.6275,13.6339,13.6281,13.6361,13.619,13.6306,13.6378,13.6411,13.6429,13.6519,13.6477,13.6519,13.6594,13.6681,13.6765,13.6739,13.6729,13.6825,13.6857,13.6848,13.6866,13.6878
9,120755,ICICI Prudential Short Term Fund - Direct Plan - Monthly IDCW,12.6784,12.6891,12.6967,12.6956,12.6963,12.6987,12.6926,12.6928,12.689,12.6866,12.6814,12.6756,12.6776,12.6813,12.6831,12.6826,12.6843,12.6859,12.6867,12.6883,12.6497,12.6351,12.6393,12.6402,12.6364,12.6454,12.6404,12.6414,12.6433,12.6475,12.6529,12.657,12.6573,12.6547,12.6493,12.6484,12.6529,12.6519,12.6471,12.6545,12.6579,12.6575,12.6601,12.656,12.6598,12.6577,12.6557,12.6476,12.6383,12.6346,12.6404,12.6422,12.6605,12.674,12.6945,12.7053,12.7076,12.7124,12.7214,12.7283,12.6943,12.7027,12.707,12.7122,12.713,12.7135,12.7082,12.7073,12.7125,12.7181,12.7268,12.7319,12.7468,12.753,12.7546,12.7576,12.7629,12.6856,12.6848,12.689,12.6922,12.6978,12.7057,12.7121,12.7129,12.7132,12.7223,12.7278,12.7299,12.7349,12.7382,12.7418,12.7493,12.7489,12.7483,12.7412,12.6787,12.6827,12.687,12.689,12.7035,12.7094,12.7164,12.724,12.7298,12.7327,12.7197,12.7067,12.712,12.7131,12.7195,12.7196,12.7205,12.7242,12.7214,12.7185,12.7197,12.7164,12.6805,12.6751,12.6826,12.6667,12.6774,12.6841,12.6872,12.6888,12.6973,12.6933,12.6972,12.7042,12.7122,12.7201,12.7177,12.7167,12.7257,12.7286,12.7278,12.7295,12.7306
